,recent_team,season,receiving_epa_mean_receive_non_qb,mean_non_qb_receiving_offensive_epa_per_week,receiving_epa_median_receive_non_qb,median_non_qb_receiving_offensive_epa_per_week,rushing_epa_mean_rush_non_qb,mean_non_qb_rushing_offensive_epa_per_week,rushing_epa_median_rush_non_qb,median_non_qb_rushing_offensive_epa_per_week,season_pass_non_qb,passing_epa_mean_pass_non_qb,mean_non_qb_passing_offensive_epa_per_week,passing_epa_median_pass_non_qb,median_non_qb_passing_offensive_epa_per_week,week_non_qb,number_weeks_played_in_time_period_non_qb,mean_non_qb_offensive_epa_per_week,median_non_qb_offensive_epa_per_week,receiving_epa_mean_receive_qb,mean_qb_receiving_offensive_epa_per_week,receiving_epa_median_receive_qb,median_qb_receiving_offensive_epa_per_week,rushing_epa_mean_rush_qb,mean_qb_rushing_offensive_epa_per_week,rushing_epa_median_rush_qb,median_qb_rushing_offensive_epa_per_week,season_pass_qb,passing_epa_mean_pass_qb,mean_qb_passing_offensive_epa_per_week,passing_epa_median_pass_qb,median_qb_passing_offensive_epa_per_week,week_qb,number_weeks_played_in_time_period_qb,mean_qb_offensive_epa_per_week,median_qb_offensive_epa_per_week,mean_passing_offensive_epa_per_week,median_passing_offensive_epa_per_week,mean_receiving_offensive_epa_per_week,median_receiving_offensive_epa_per_week,mean_rushing_offensive_epa_per_week,median_rushing_offensive_epa_per_week,mean_offensive_epa_per_week,median_offensive_epa_per_week
20,MIN,2022,8.844431,8.844431,10.646231,10.646231,-2.69435,-2.69435,-1.3876553,-1.3876553,28308,-5.5659556,-5.5659556,-5.5659556,-5.5659556,136,136,0.5841248,3.69262,0.0,0.0,0.0,0.0,0.102300555,0.102300555,0.09295182,0.09295182,4044.0,2.4008584,2.4008584,1.2317879,1.2317879,19.0,19.0,2.503159,1.3247398,-3.1650972,-4.3341675,8.844431,10.646231,-2.5920494,-1.2947035,3.0872838,5.0173597
21,ATL,2022,0.934548,0.934548,2.6647081,2.6647081,-0.80049145,-0.80049145,-1.9007795,-1.9007795,32352,0.0,0.0,0.0,0.0,146,146,0.13405666,0.7639284,0.0,0.0,0.0,0.0,0.76105946,0.76105946,0.76538163,0.76538163,2022.0,0.46566427,0.46566427,-0.44220906,-0.44220906,13.0,13.0,1.2267237,0.32317257,0.46566427,-0.44220906,0.934548,2.6647081,-0.03943199,-1.1353979,1.3607804,1.087101
22,CHI,2022,0.42502475,0.42502475,0.645946,0.645946,-0.47834578,-0.47834578,0.049749848,0.049749848,36396,0.0,0.0,0.0,0.0,134,134,-0.05332128,0.6956962,0.0,0.0,0.0,0.0,4.3455286,4.3455286,3.6205478,3.6205478,4044.0,-5.087222,-5.087222,-4.4510345,-4.4510345,17.0,17.0,-0.7416936,-0.83048666,-5.087222,-4.4510345,0.42502475,0.645946,3.8671827,3.6702976,-0.7950149,-0.13479048
23,BAL,2022,3.1571453,3.1571453,0.24414328,0.24414328,0.25738376,0.25738376,1.4025546,1.4025546,34374,-4.0428915,-4.0428915,-4.0428915,-4.0428915,149,149,-0.6283625,-2.3961935,0.0,0.0,0.0,0.0,2.5450854,2.5450854,0.47954285,0.47954285,6066.0,-2.1558247,-2.1558247,-2.5457466,-2.5457466,18.0,18.0,0.38926113,-2.0662036,-6.198716,-6.5886383,3.1571453,0.24414328,2.8024693,1.8820975,-0.23910135,-4.462397
24,TEN,2022,1.8620827,1.8620827,-0.5446353,-0.5446353,-4.015918,-4.015918,-4.881721,-4.881721,36396,0.4664566,0.4664566,0.4664566,0.4664566,133,133,-1.6873786,-4.9599,0.0,0.0,0.0,0.0,-0.29616344,-0.29616344,0.57758963,0.57758963,2022.0,1.6430961,1.6430961,1.6290236,1.6290236,12.0,12.0,1.3469326,2.206613,2.1095526,2.0954802,1.8620827,-0.5446353,-4.3120813,-4.3041315,-0.340446,-2.7532868
25,NYJ,2022,-4.634682,-4.634682,-3.170122,-3.170122,-2.021183,-2.021183,-0.8160411,-0.8160411,32352,1.1379361,1.1379361,1.1379361,1.1379361,145,145,-5.517929,-2.8482268,1.1844527,1.1844527,1.1844527,1.1844527,2.7751248,2.7751248,2.4857156,2.4857156,6066.0,-4.210156,-4.210156,-3.6883483,-3.6883483,14.0,14.0,-0.25057864,-0.018180251,-3.0722198,-2.5504122,-3.4502296,-1.9856693,0.7539418,1.6696745,-5.768508,-2.866407
26,TB,2022,7.517859,7.517859,8.023846,8.023846,-9.673952,-9.673952,-9.224453,-9.224453,34374,-4.7260165,-4.7260165,-4.7260165,-4.7260165,143,143,-6.88211,-5.926624,-4.7260165,-4.7260165,-4.7260165,-4.7260165,-1.4620943,-1.4620943,-1.066773,-1.066773,2022.0,3.6816962,3.6816962,1.7527281,1.7527281,16.0,16.0,-2.5064147,-4.0400615,-1.0443203,-2.9732885,2.7918425,3.2978292,-11.136046,-10.291226,-9.388525,-9.966685
27,CLE,2022,1.0494914,1.0494914,1.731459,1.731459,-3.9205,-3.9205,-3.2433171,-3.2433171,32352,-4.9805026,-4.9805026,-4.9805026,-4.9805026,130,130,-7.8515115,-6.4923606,0.0,0.0,0.0,0.0,1.5258776,1.5258776,2.040855,2.040855,2022.0,1.6410527,1.6410527,-0.26046678,-0.26046678,14.0,14.0,3.1669302,1.7803881,-3.33945,-5.240969,1.0494914,1.731459,-2.3946223,-1.2024622,-4.6845813,-4.711972
28,SEA,2022,0.8197352,0.8197352,-1.2151365,-1.2151365,-5.3821216,-5.3821216,-7.751487,-7.751487,36396,-4.8671126,-4.8671126,-4.8671126,-4.8671126,145,145,-9.4295,-13.833736,0.0,0.0,0.0,0.0,-0.22445379,-0.22445379,-0.24951868,-0.24951868,2022.0,2.2678735,2.2678735,3.7732568,3.7732568,16.0,16.0,2.0434198,3.5237381,-2.599239,-1.0938559,0.8197352,-1.2151365,-5.6065755,-8.001005,-7.38608,-10.3099985
29,DEN,2022,-3.5886352,-3.5886352,-6.710144,-6.710144,-8.558941,-8.558941,-8.177197,-8.177197,42462,0.0,0.0,0.0,0.0,152,152,-12.147576,-14.887342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,HOU,2022,-4.64194,-4.64194,-3.7784853,-3.7784853,-8.757257,-8.757257,-7.1621227,-7.1621227,40440,-0.9880837,-0.9880837,-0.9880837,-0.9880837,149,149,-14.38728,-11.928692,-0.10666325,-0.10666325,-0.10666325,-0.10666325,-1.3243948,-1.3243948,-1.2013037,-1.2013037,2022.0,-0.59528846,-0.59528846,-0.78100145,-0.78100145,6.0,6.0,-2.0263464,-2.0889683,-1.5833721,-1.7690852,-4.7486033,-3.8851485,-10.081653,-8.363426,-16.413628,-14.01766
31,IND,2022,-10.949401,-10.949401,-11.242969,-11.242969,-7.1940784,-7.1940784,-5.165241,-5.165241,32352,0.0,0.0,0.0,0.0,140,140,-18.143478,-16.408209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
